Service Level,Day,Month,Temp,Calls,AHT,Talk_Time
95,Sunday,July,79.5,20150,105,713
29,Saturday,May,57.1,20235,128,864
93,Sunday,May,68.6,20324,98,654
86,Saturday,April,57.3,20540,111,722
35,Saturday,October,57.6,20586,133,816
92,Sunday,August,70.4,20682,101,691
96,Sunday,August,78.6,20716,104,695
90,Sunday,May,70.3,20746,96,647
40,Saturday,September,71.8,20755,138,847
95,Sunday,August,77.3,20845,100,694
88,Saturday,March,44.3,20871,136,965
96,Sunday,June,64.0,21054,106,754
87,Saturday,June,68.9,21066,128,864
93,Saturday,October,48.9,21188,119,871
98,Sunday,November,44.4,21321,96,693
85,Saturday,June,67.3,21481,136,913
96,Sunday,June,78.3,21523,102,728
98,Sunday,November,50.4,21527,97,709
89,Sunday,May,58.6,21697,98,718
96,Sunday,April,54.0,21704,104,750
97,Sunday,June,66.9,21863,104,781
31,Saturday,January,48.9,21867,135,932
98,Sunday,January,39.7,21950,94,713
97,Sunday,November,49.5,22080,91,655
98,Sunday,January,50.8,22118,96,702
92,Sunday,July,75.9,22155,99,732
98,Sunday,November,49.5,22263,97,728
97,Sunday,November,49.0,22315,90,652
98,Sunday,October,59.1,22361,88,653
63,Sunday,September,70.1,22365,106,687
91,Sunday,March,37.1,22478,99,665
98,Sunday,December,39.3,22509,93,698
90,Sunday,June,75.4,22584,102,794
22,Saturday,November,44.5,22732,127,862
92,Saturday,March,36.2,22747,123,917
80,Sunday,March,46.6,22748,102,747
92,Sunday,June,74.8,22847,99,772
35,Saturday,February,47.0,22896,116,847
94,Sunday,August,73.1,23032,91,688
93,Sunday,April,49.6,23139,87,629
90,Saturday,February,21.5,23181,125,967
98,Sunday,December,57.6,23215,89,667
97,Sunday,April,54.9,23277,95,727
97,Sunday,January,48.1,23373,87,658
95,Sunday,March,34.9,23393,95,741
32,Saturday,January,23.0,23433,165,1326
96,Sunday,August,69.6,23453,88,660
99,Sunday,December,46.0,23573,83,643
95,Sunday,March,36.2,23607,97,755
97,Sunday,December,41.0,23678,80,603
73,Sunday,March,41.7,23749,89,629
67,Saturday,April,49.0,23866,117,846
91,Sunday,July,84.1,23889,97,768
96,Sunday,November,40.6,24121,92,735
99,Sunday,November,51.7,24137,84,667
36,Sunday,January,44.4,24225,136,746
99,Saturday,January,36.3,24231,101,761
93,Sunday,May,60.0,24263,97,817
96,Saturday,October,51.7,24292,126,1040
93,Sunday,June,69.8,24332,99,722
86,Sunday,June,64.8,24466,93,761
95,Sunday,May,71.7,24757,93,756
35,Sunday,May,58.6,25298,118,723
94,Sunday,September,72.6,25342,83,674
97,Sunday,December,47.9,25439,73,579
89,Sunday,June,69.1,25508,96,713
50,Saturday,October,62.8,25517,109,762
37,Saturday,February,31.6,25615,138,1018
33,Saturday,March,28.8,25617,137,947
29,Saturday,February,24.9,26042,137,990
97,Sunday,December,32.3,26401,72,599
92,Sunday,June,74.8,26548,90,782
95,Sunday,October,57.1,27368,77,673
95,Sunday,March,41.0,27382,92,821
98,Sunday,September,71.7,27634,82,739
99,Sunday,December,53.6,27749,74,644
68,Saturday,January,34.0,28023,98,855
93,Sunday,May,71.2,28248,91,809
62,Saturday,February,24.8,28576,126,1117
23,Saturday,January,19.0,28651,138,1084
96,Sunday,November,49.9,28727,76,709
88,Sunday,October,43.0,28786,92,905
95,Sunday,April,52.0,29032,79,726
43,Saturday,February,24.4,29133,119,1133
87,Saturday,July,72.0,29255,98,867
43,Sunday,July,77.3,30269,81,678
66,Saturday,January,23.5,30431,126,1202
93,Sunday,October,50.7,31023,76,740
90,Sunday,April,71.3,31212,69,685
91,Sunday,November,58.8,31463,79,830
60,Sunday,December,36.0,31578,85,714
27,Saturday,February,33.3,32136,101,910
35,Sunday,July,74.6,32451,113,679
95,Sunday,January,29.0,33225,73,757
89,Friday,July,71.5,34295,130,1484
99,Saturday,December,50.4,34907,75,704
44,Wednesday,May,56.5,35046,140,1505
87,Wednesday,April,48.5,35064,122,1556
42,Sunday,October,52.1,35110,75,691
88,Friday,July,73.0,35264,130,1542
94,Wednesday,July,78.6,35516,123,1617
94,Wednesday,September,63.8,35547,118,1543
89,Wednesday,May,58.7,35574,122,1595
89,Wednesday,May,68.5,35720,125,1655
89,Friday,April,58.0,35765,125,1437
95,Wednesday,August,75.6,35831,135,1812
44,Friday,January,42.5,35923,137,1424
84,Wednesday,April,43.1,36246,121,1576
84,Friday,March,53.6,36343,127,1473
98,Wednesday,August,77.4,36347,133,1826
99,Wednesday,August,79.8,36395,128,1769
97,Friday,January,39.2,36469,124,1507
98,Wednesday,January,25.7,36609,123,1714
93,Friday,September,60.1,36696,125,1456
95,Friday,August,73.4,36792,126,1492
99,Wednesday,December,49.0,36848,114,1487
30,Sunday,August,77.5,36995,108,646
97,Wednesday,August,79.4,37022,131,1823
95,Tuesday,July,77.3,37047,127,1662
93,Friday,September,67.8,37070,131,1568
93,Friday,August,73.0,37146,134,1638
100,Friday,December,47.1,37248,116,1248
65,Friday,August,77.3,37338,135,1639
95,Wednesday,August,74.8,37396,117,1584
87,Friday,July,75.9,37514,126,1586
87,Friday,May,58.5,37635,124,1422
97,Wednesday,October,63.4,37643,117,1612
89,Friday,December,46.5,37765,129,1571
99,Wednesday,November,53.2,37772,117,1609
96,Friday,August,75.5,37782,134,1672
83,Friday,April,44.3,37799,124,1461
92,Friday,March,43.2,37865,127,1506
93,Friday,May,64.1,37900,133,1630
93,Friday,December,39.3,38056,120,1387
96,Tuesday,August,80.2,38317,135,1822
90,Wednesday,September,69.0,38493,119,1670
92,Wednesday,August,79.4,38512,115,1603
90,Wednesday,July,73.3,38610,123,1745
95,Wednesday,August,75.3,38634,114,1575
98,Friday,August,78.0,38661,131,1648
95,Wednesday,May,64.6,38692,127,1825
89,Tuesday,May,66.9,38754,124,1672
87,Tuesday,May,64.8,38782,125,1650
87,Sunday,March,37.2,38954,60,722
99,Friday,October,55.3,39145,123,1490
98,Tuesday,August,80.4,39201,135,1875
90,Wednesday,March,37.5,39231,118,1655
95,Wednesday,September,79.5,39257,128,1918
95,Friday,November,55.1,39336,123,1495
95,Wednesday,June,73.3,39352,127,1900
97,Wednesday,January,32.6,39355,117,1720
27,Sunday,May,67.6,39386,103,665
97,Wednesday,April,62.8,39448,128,1890
93,Wednesday,December,50.6,39512,115,1612
93,Wednesday,June,76.5,39537,128,1933
86,Wednesday,July,76.9,39701,125,1865
91,Friday,September,78.2,39726,126,1660
61,Sunday,November,43.5,39800,79,943
95,Friday,June,76.0,39886,132,1747
98,Wednesday,July,75.9,39895,128,1880
94,Friday,January,38.5,39943,125,1561
99,Wednesday,January,32.4,39949,123,1857
83,Friday,November,30.5,40103,119,1446
82,Friday,May,65.0,40148,124,1521
35,Tuesday,May,59.5,40244,140,1566
30,Sunday,May,65.8,40252,100,616
97,Wednesday,July,77.7,40295,123,1823
89,Wednesday,July,85.0,40295,129,1915
97,Friday,December,34.6,40296,113,1263
95,Wednesday,June,71.6,40391,129,1976
94,Friday,June,73.4,40416,130,1777
94,Friday,August,69.9,40437,119,1438
86,Friday,July,81.5,40516,133,1721
96,Friday,October,54.3,40521,124,1539
91,Tuesday,May,75.1,40544,131,1880
80,Friday,May,61.5,40685,122,1484
87,Thursday,April,46.7,40706,112,1528
94,Wednesday,December,43.4,40712,109,1531
94,Wednesday,July,79.5,40747,124,1909
38,Wednesday,September,77.8,40909,133,1746
98,Wednesday,October,60.1,40954,111,1572
94,Tuesday,August,76.4,41008,118,1611
93,Friday,May,51.5,41035,130,1698
79,Tuesday,April,43.2,41066,121,1730
85,Thursday,April,47.8,41074,112,1532
79,Friday,March,33.4,41090,129,1670
98,Friday,June,59.7,41161,127,1618
98,Tuesday,October,51.3,41185,120,1641
93,Thursday,July,74.5,41211,119,1648
96,Tuesday,August,73.7,41219,115,1555
98,Tuesday,January,33.6,41223,118,1665
84,Friday,June,79.1,41243,136,1886
95,Tuesday,September,80.0,41338,132,1926
32,Sunday,September,73.4,41356,105,730
94,Wednesday,March,39.8,41387,123,1846
96,Wednesday,May,59.7,41463,119,1776
92,Friday,May,70.9,41533,130,1747
98,Tuesday,July,75.7,41572,131,1928
95,Wednesday,August,73.0,41611,113,1606
28,Friday,May,51.3,41655,131,1492
85,Tuesday,April,49.6,41790,118,1608
91,Thursday,July,73.1,41792,115,1629
89,Wednesday,March,30.0,41806,117,1686
72,Friday,August,68.8,41903,117,1405
89,Friday,July,76.9,41975,125,1663
96,Tuesday,July,82.2,42004,137,2035
92,Tuesday,August,81.2,42094,132,1913
95,Friday,November,54.0,42133,122,1621
97,Friday,November,68.4,42137,120,1545
94,Friday,July,77.6,42147,127,1665
91,Tuesday,March,34.0,42148,118,1662
94,Wednesday,April,56.2,42194,121,1855
93,Tuesday,May,70.2,42260,131,1905
88,Friday,April,50.8,42284,118,1437
95,Friday,August,74.9,42448,122,1512
87,Friday,June,72.0,42454,127,1638
95,Friday,December,34.7,42470,114,1377
93,Thursday,September,65.6,42477,110,1543
88,Thursday,March,34.1,42515,115,1623
96,Tuesday,August,71.7,42558,120,1649
96,Tuesday,November,45.4,42585,120,1696
96,Tuesday,April,60.0,42609,131,1956
87,Wednesday,January,43.0,42636,119,1725
92,Friday,October,58.3,42666,121,1543
90,Wednesday,June,75.5,42767,115,1677
92,Wednesday,May,70.7,42771,121,1906
98,Thursday,August,75.5,42923,119,1733
97,Thursday,August,73.5,42945,119,1722
99,Friday,December,54.2,42972,120,1465
97,Wednesday,December,46.5,42977,95,1333
60,Sunday,September,62.9,43058,67,735
99,Thursday,August,80.5,43094,117,1728
91,Tuesday,July,75.0,43165,120,1720
90,Wednesday,September,80.2,43241,124,2010
39,Saturday,January,34.7,43251,125,982
93,Friday,September,74.9,43391,128,1699
95,Tuesday,June,81.2,43426,131,2017
88,Tuesday,March,54.9,43467,115,1600
86,Tuesday,July,80.3,43476,120,1817
84,Friday,June,73.3,43573,116,1576
80,Wednesday,November,27.9,43622,109,1655
98,Tuesday,October,58.1,43745,115,1628
60,Sunday,October,57.2,43762,72,824
90,Friday,April,42.9,43763,125,1690
97,Tuesday,December,38.8,43770,115,1622
97,Wednesday,November,59.9,43873,112,1751
91,Monday,July,74.1,44076,121,1847
87,Thursday,September,74.5,44093,101,1320
82,Wednesday,June,65.5,44117,109,1687
89,Tuesday,March,34.5,44120,124,1880
40,Friday,September,78.0,44147,143,1700
87,Wednesday,June,82.9,44150,120,1817
42,Friday,January,33.1,44157,147,1927
95,Thursday,August,74.0,44263,106,1513
95,Thursday,August,75.5,44280,118,1780
90,Wednesday,October,62.1,44359,103,1595
97,Thursday,January,31.2,44400,109,1607
87,Tuesday,April,47.5,44417,112,1551
98,Wednesday,October,62.8,44521,113,1705
89,Tuesday,September,67.5,44672,113,1632
94,Tuesday,September,63.4,44794,112,1546
92,Tuesday,September,68.0,44827,118,1735
98,Sunday,April,49.9,44827,49,662
95,Wednesday,November,57.2,44894,101,1554
87,Tuesday,July,79.6,44928,122,1907
91,Tuesday,June,70.4,44937,131,2070
90,Wednesday,March,32.9,44960,117,1877
94,Tuesday,December,47.6,44983,118,1707
99,Thursday,January,38.7,45021,106,1590
95,Monday,August,77.8,45045,125,1986
90,Thursday,July,74.9,45222,113,1734
74,Friday,March,31.7,45423,118,1490
99,Tuesday,December,58.9,45448,115,1640
94,Tuesday,September,60.6,45517,106,1533
96,Tuesday,June,73.2,45522,126,1880
87,Friday,November,46.5,45532,115,1493
92,Friday,November,37.9,45550,113,1472
97,Tuesday,July,82.6,45559,127,1952
58,Wednesday,May,61.5,45622,121,1802
89,Wednesday,October,62.2,45636,100,1540
99,Monday,August,83.0,45658,125,2000
88,Monday,April,44.0,45691,111,1683
94,Monday,September,62.8,45749,117,1791
98,Thursday,December,48.5,45800,111,1667
97,Tuesday,June,73.9,45856,125,2035
87,Thursday,March,42.7,45915,110,1622
90,Wednesday,April,60.9,45932,115,1890
94,Thursday,May,63.2,45952,120,1832
86,Thursday,May,63.9,46006,107,1556
82,Tuesday,July,79.5,46022,114,1809
95,Tuesday,August,78.5,46154,111,1619
41,Wednesday,May,57.5,46282,111,1666
91,Tuesday,March,40.0,46406,120,1895
92,Friday,March,42.0,46442,127,1793
94,Wednesday,June,58.3,46469,111,1832
90,Thursday,May,61.5,46519,105,1562
82,Tuesday,June,70.0,46682,118,1783
88,Tuesday,June,78.4,46781,123,1833
97,Monday,August,74.8,46821,125,2027
43,Friday,May,63.8,46824,139,1482
95,Tuesday,May,64.6,46836,123,1862
96,Thursday,June,74.7,47022,120,1915
99,Thursday,October,64.7,47107,103,1543
92,Tuesday,October,61.3,47116,112,1597
89,Tuesday,November,30.5,47119,114,1717
87,Wednesday,July,76.5,47227,114,1961
98,Wednesday,September,75.2,47270,112,1810
84,Monday,May,59.4,47312,113,1761
96,Thursday,December,39.4,47407,101,1514
97,Tuesday,December,43.8,47486,98,1364
84,Tuesday,June,72.8,47642,116,1749
88,Monday,May,73.8,47842,116,1815
95,Thursday,August,73.3,48002,101,1545
98,Tuesday,November,39.9,48247,105,1623
89,Tuesday,October,59.6,48328,110,1618
99,Wednesday,December,47.4,48338,99,1566
97,Thursday,November,60.3,48474,101,1530
85,Friday,March,37.5,48593,121,1722
96,Thursday,June,79.3,48604,116,1904
97,Monday,July,77.8,48838,126,2153
97,Thursday,April,52.9,48851,113,1821
89,Thursday,August,74.3,48924,102,1614
97,Thursday,July,77.0,49033,107,1695
89,Monday,August,82.3,49042,123,2053
95,Thursday,January,39.0,49049,111,1693
99,Thursday,October,65.4,49071,104,1590
97,Thursday,June,66.3,49131,115,1858
99,Tuesday,December,56.6,49158,96,1393
85,Wednesday,November,58.6,49190,98,1609
93,Monday,August,81.3,49214,124,2109
67,Thursday,September,77.4,49227,118,1744
89,Tuesday,March,30.8,49301,107,1633
95,Monday,September,64.7,49332,107,1741
78,Wednesday,March,50.0,49333,107,1796
96,Monday,January,32.3,49343,110,1858
56,Thursday,May,54.5,49351,126,1476
79,Wednesday,July,79.6,49362,104,1807
96,Friday,September,72.4,49365,118,1778
93,Friday,April,61.7,49389,116,1638
95,Tuesday,April,57.3,49394,122,1943
89,Monday,July,77.1,49589,114,1867
96,Monday,May,66.9,49618,121,2043
20,Friday,January,32.2,49828,164,2517
98,Tuesday,June,52.2,49912,119,1846
90,Monday,May,71.5,49983,118,1988
97,Monday,July,78.3,50008,125,2119
93,Monday,August,76.5,50291,112,1832
30,Sunday,April,50.1,50466,51,607
92,Thursday,July,73.0,50488,110,1808
38,Tuesday,January,47.6,50733,138,1684
37,Tuesday,June,73.7,50808,113,1694
94,Monday,August,75.5,50925,109,1796
40,Wednesday,January,30.9,51047,153,2285
92,Thursday,July,78.8,51079,111,1793
93,Thursday,November,38.1,51415,97,1521
91,Monday,September,69.5,51462,111,1930
88,Friday,May,63.4,51468,112,1579
96,Tuesday,November,56.5,51557,89,1370
98,Monday,November,57.4,51680,102,1717
100,Thursday,December,55.4,51711,95,1454
82,Tuesday,January,20.8,51920,117,2037
88,Thursday,June,76.2,52135,105,1670
91,Monday,June,79.7,52424,121,2170
97,Monday,June,68.0,52434,115,2012
77,Tuesday,January,25.2,52569,120,2149
96,Thursday,March,48.0,52744,111,1872
87,Tuesday,April,60.0,52804,118,1958
71,Sunday,February,47.5,52819,54,758
97,Thursday,April,44.9,52891,109,1842
95,Monday,April,54.1,53009,120,2104
46,Friday,October,66.5,53026,126,1511
45,Friday,October,62.2,53044,108,1468
27,Monday,May,62.7,53125,138,1735
90,Tuesday,May,77.5,53192,112,1870
97,Thursday,December,39.0,53208,88,1371
43,Thursday,August,70.0,53297,101,1510
98,Tuesday,August,75.2,53628,115,1799
36,Tuesday,January,36.7,53662,151,2471
99,Monday,October,51.5,53817,106,1842
84,Monday,July,80.3,53881,109,1960
84,Monday,April,51.0,53903,104,1735
95,Thursday,May,72.3,53969,108,1846
90,Thursday,June,72.5,53973,107,1720
89,Monday,June,70.8,54109,120,2246
96,Thursday,November,63.2,54164,96,1589
97,Wednesday,December,35.7,54247,84,1459
96,Tuesday,January,23.5,54285,119,2129
99,Thursday,September,76.1,54313,105,1764
88,Thursday,September,82.2,54416,113,2179
88,Monday,June,78.7,54423,109,1993
82,Thursday,June,65.2,54552,99,1634
85,Monday,November,41.5,54586,107,1908
78,Wednesday,April,42.0,54613,96,1645
94,Thursday,October,57.8,54663,102,1676
78,Friday,June,68.7,54899,110,1558
92,Monday,November,38.4,55002,103,1828
95,Monday,August,71.3,55234,105,1812
79,Friday,February,15.8,55246,111,1678
84,Monday,December,52.5,55465,102,1801
88,Monday,June,71.8,55755,113,1990
84,Monday,March,30.0,55771,113,2050
79,Wednesday,March,49.7,55895,105,1919
98,Tuesday,September,82.3,55924,114,2090
99,Thursday,November,56.0,56329,97,1670
37,Friday,October,49.5,56372,108,1415
96,Friday,May,62.3,56450,113,1661
81,Monday,June,70.9,56483,103,1871
34,Monday,January,40.2,56512,138,1857
91,Monday,March,26.7,56557,106,1878
93,Monday,September,71.8,56634,102,1795
83,Wednesday,April,48.8,56749,90,1611
98,Thursday,May,55.6,56779,100,1722
99,Monday,December,48.4,56813,91,1571
99,Wednesday,October,64.2,56860,94,1690
96,Tuesday,December,30.6,57055,84,1418
92,Thursday,April,56.5,57278,103,1829
98,Thursday,January,30.7,57530,97,1758
44,Thursday,January,33.8,57596,152,2101
97,Monday,December,41.4,57776,90,1560
94,Tuesday,May,72.7,57816,113,2015
70,Thursday,March,23.0,57933,108,1900
50,Wednesday,April,40.4,58022,106,1885
80,Friday,June,67.0,58034,104,1530
93,Monday,August,75.9,58089,102,1828
88,Monday,June,71.8,58251,112,1976
28,Saturday,July,71.8,58272,88,671
95,Tuesday,April,51.9,58302,106,1831
95,Monday,May,62.1,58481,108,1949
98,Thursday,September,73.5,58736,103,1928
79,Monday,January,27.2,58862,101,1969
99,Thursday,December,54.1,59054,90,1565
94,Thursday,October,63.1,59151,87,1582
92,Sunday,February,47.7,59239,45,778
91,Monday,March,43.9,59376,111,2133
89,Thursday,November,42.1,59458,91,1605
87,Monday,March,38.7,59522,100,1784
39,Tuesday,September,83.6,59669,125,1977
95,Monday,November,51.8,59729,97,1848
39,Wednesday,October,65.9,59858,91,1551
97,Monday,December,56.4,59886,96,1727
80,Monday,June,69.6,59948,116,2234
97,Monday,October,44.3,60225,103,1967
85,Monday,January,34.5,60316,96,1866
49,Wednesday,April,41.3,60423,104,1854
48,Thursday,May,54.8,60458,105,1668
54,Thursday,July,71.4,60734,105,1791
22,Sunday,February,22.7,61060,59,959
93,Monday,July,87.2,61116,110,2172
8,Saturday,January,18.5,61325,123,1261
91,Tuesday,March,46.8,61475,107,1917
83,Thursday,April,48.7,61578,87,1538
93,Tuesday,December,41.2,61707,92,1582
98,Tuesday,October,66.1,61850,104,1836
80,Monday,March,38.0,61898,104,1964
95,Tuesday,October,66.3,61900,92,1596
97,Monday,November,62.8,61935,88,1601
99,Monday,February,47.3,62241,37,495
38,Wednesday,October,71.2,62345,89,1568
79,Tuesday,February,27.4,63217,96,1731
38,Wednesday,October,53.8,63312,89,1540
97,Monday,December,39.4,63421,79,1459
89,Wednesday,January,18.2,63473,87,1738
95,Monday,October,55.9,63559,96,1816
85,Thursday,October,51.5,64111,87,1632
60,Sunday,January,31.0,64130,49,826
82,Thursday,March,23.5,64238,91,1646
31,Wednesday,March,31.0,64256,93,1707
54,Sunday,September,70.6,64588,50,864
26,Sunday,October,54.3,65024,86,679
97,Thursday,June,58.2,65066,94,1751
99,Monday,September,65.4,65133,94,1972
81,Monday,July,76.0,65237,104,2117
31,Friday,January,37.0,65456,94,1478
97,Monday,December,38.9,65635,84,1625
89,Tuesday,October,68.5,65784,92,1701
97,Tuesday,December,44.5,65937,67,1227
94,Thursday,July,73.6,66072,86,1563
27,Sunday,January,34.7,66752,80,621
89,Friday,October,55.1,66863,98,1543
88,Monday,June,56.1,67114,104,2091
87,Thursday,March,42.9,67409,98,1926
98,Wednesday,December,43.4,67667,71,1521
93,Monday,November,44.3,68096,90,1753
35,Wednesday,July,70.8,68422,83,1640
97,Thursday,December,33.5,68422,79,1462
59,Monday,December,47.4,68590,96,1838
13,Sunday,February,13.8,68684,92,980
97,Wednesday,September,70.7,68712,85,1758
79,Monday,April,58.8,69261,102,2117
99,Thursday,October,62.8,69939,84,1628
27,Sunday,October,59.6,69965,81,700
87,Tuesday,March,46.0,70416,101,1985
78,Monday,March,42.3,70434,96,2087
94,Thursday,November,50.0,70534,79,1506
95,Monday,October,50.9,70543,94,1945
73,Thursday,January,31.5,70557,104,2355
82,Thursday,March,34.8,70863,103,1879
27,Friday,February,40.7,70908,108,1568
35,Wednesday,September,64.2,70939,75,1497
35,Wednesday,November,42.7,70979,100,1329
30,Sunday,January,36.8,71466,109,983
38,Friday,September,66.9,71843,87,1332
96,Friday,October,51.8,71983,93,1622
34,Friday,January,31.2,72001,133,1667
37,Tuesday,November,55.3,72439,113,1586
36,Wednesday,December,29.2,72988,98,1040
26,Wednesday,June,71.5,73303,100,1628
54,Tuesday,September,66.1,73404,90,1809
91,Monday,December,39.8,73415,82,1732
92,Friday,January,38.0,73887,79,1362
89,Monday,March,31.8,74040,95,1977
88,Monday,April,51.0,74078,96,2022
25,Friday,December,59.2,74084,58,522
36,Sunday,March,36.6,75020,44,796
27,Wednesday,April,43.2,76488,84,1551
91,Sunday,March,42.1,76652,40,824
70,Wednesday,January,19.0,76923,89,2306
86,Thursday,January,13.8,77269,86,1943
26,Friday,February,19.5,77355,124,1890
87,Monday,January,36.4,77502,92,2050
83,Monday,June,65.4,77746,89,1922
31,Thursday,January,25.1,77935,136,1908
99,Sunday,January,43.2,78070,34,787
39,Friday,August,67.0,78937,92,1461
30,Friday,January,26.1,78966,94,1892
80,Friday,March,32.5,79345,108,1696
27,Friday,April,46.3,79701,108,1648
36,Friday,October,58.0,79780,90,1388
34,Wednesday,November,39.0,80075,96,1232
33,Friday,April,40.0,80856,79,1346
26,Friday,January,39.4,81140,70,611
78,Thursday,February,23.1,81262,78,1692
27,Wednesday,January,12.1,81567,145,2355
38,Friday,October,64.3,82855,88,1447
98,Thursday,October,58.2,83348,72,1641
27,Wednesday,February,25.5,83404,77,1727
100,Wednesday,December,54.9,83818,54,1363
36,Thursday,July,76.4,83866,113,1624
56,Tuesday,September,72.4,85475,87,1800
34,Friday,January,31.2,85811,104,1779
25,Sunday,January,36.7,86394,79,940
29,Tuesday,March,23.1,86659,92,1723
34,Wednesday,December,47.0,87536,86,869
27,Wednesday,February,37.7,88468,87,1765
81,Sunday,January,25.5,88520,44,1013
32,Tuesday,April,51.6,88853,78,1582
26,Tuesday,July,68.9,89311,90,1697
31,Monday,April,65.5,89708,80,1791
31,Friday,July,69.4,89796,76,796
37,Monday,November,58.4,89974,119,1825
49,Sunday,February,33.6,90344,44,934
32,Wednesday,November,53.1,90803,91,1199
38,Thursday,January,36.5,91299,112,1519
28,Friday,April,60.8,91521,81,1432
30,Sunday,February,29.4,92388,66,879
88,Tuesday,December,39.3,93001,76,1640
26,Tuesday,April,55.3,93018,80,1526
22,Friday,February,35.5,93512,71,1728
52,Tuesday,October,62.3,93519,80,1715
34,Monday,September,79.7,93732,83,767
29,Friday,March,19.4,93789,101,1786
24,Tuesday,February,32.9,94786,85,1825
5,Saturday,January,27.0,94977,54,1122
26,Friday,July,72.8,95105,93,1675
66,Friday,February,26.9,95207,104,2074
70,Friday,January,32.0,96055,90,1595
32,Monday,September,78.1,96402,84,964
18,Friday,February,10.4,97170,108,2072
52,Tuesday,September,74.5,97814,77,1739
52,Friday,September,67.6,98309,82,1570
29,Monday,May,71.3,98310,74,762
30,Monday,November,50.0,98576,101,1992
86,Monday,April,51.9,98703,77,2012
52,Tuesday,December,43.9,98833,77,1727
26,Thursday,December,51.1,99687,52,480
35,Wednesday,January,41.3,99709,99,1661
88,Monday,February,35.0,100484,70,1881
53,Sunday,February,35.9,100862,54,1021
50,Monday,May,76.1,101564,67,792
31,Tuesday,November,57.5,101839,88,1174
26,Thursday,January,32.6,101931,62,635
62,Wednesday,January,18.5,101981,76,1976
94,Friday,December,44.0,102174,56,1196
24,Wednesday,September,67.0,102230,70,1735
25,Friday,February,14.4,102947,101,1820
26,Wednesday,February,27.4,103072,109,2043
63,Sunday,March,27.0,103228,42,931
